date,target_beta,raw_target_beta,entropy,predicted_regime,actual_regime,raw_regime,stable_regime,deployment_state,lock_active,target_bucket,close
2022-12-15,0.33916081419095806,0.6179967886952166,0.626236503144923,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,270.99481201171875
2022-12-16,0.33916081419095806,0.5871283499408676,0.5012106469164751,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,268.4109802246094
2022-12-19,0.33916081419095806,0.6383781550775282,0.6136216066610448,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,264.63885498046875
2022-12-20,0.33916081419095806,0.7787152349143094,0.6985485712353734,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,264.4328918457031
2022-12-21,0.33916081419095806,0.5496601269659466,0.34334545928439625,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,268.2687683105469
2022-12-22,0.33916081419095806,0.539665540135564,0.296339907307873,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,261.7055053710937
2022-12-23,0.33916081419095806,0.6206518567976731,0.573219067492319,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,262.2941589355469
2022-12-26,0.33916081419095806,0.571706160193538,0.43465258191962336,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,262.2941589355469
2022-12-27,0.33916081419095806,0.5261687148126454,0.2231138315655662,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,258.58575439453125
2022-12-28,0.33916081419095806,0.5454888469091521,0.3272409633566507,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,255.17176818847656
2022-12-29,0.33916081419095806,0.5204484829025275,0.18348262195659537,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,261.3915710449219
2022-12-30,0.33916081419095806,0.5349463662860652,0.26499556170370975,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,261.234619140625
2023-01-02,0.33916081419095806,0.9905072481776922,0.3907755661712221,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,CASH,261.234619140625
2023-01-03,0.33916081419095806,1.0201681919424221,0.31809752124113955,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,CASH,259.4687805175781
2023-01-04,0.33916081419095806,1.0296467337637178,0.2963450677110388,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,CASH,260.704833984375
2023-01-05,0.33916081419095806,1.0379424260517098,0.2732648831589547,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,CASH,256.6236877441406
2023-01-06,0.33916081419095806,1.0374993967478083,0.27591642554120877,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,CASH,263.70684814453125
2023-01-09,0.33916081419095806,1.0015365005840613,0.40193119040624575,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,CASH,265.4139099121094
2023-01-10,0.33916081419095806,0.9948829468389945,0.4578759237064333,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,CASH,267.6604919433594
2023-01-11,0.6185857332938495,1.028569534640377,0.3667969312977422,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,CASH,272.29107666015625
2023-01-12,0.6185857332938495,1.0011390441774588,0.4758124779502976,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,CASH,273.7626342773437
2023-01-13,0.6185857332938495,0.9970871610089627,0.49410098297199573,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,QQQ,275.646240234375
2023-01-16,0.6185857332938495,1.0098744484625244,0.5139658585198279,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,True,QQQ,275.646240234375
2023-01-17,0.6185857332938495,0.9948552275869874,0.5904403941948494,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,QQQ,276.20556640625
2023-01-18,0.6185857332938495,0.9782549105616676,0.6551171101543615,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,QQQ,272.6148376464844
2023-01-19,0.6185857332938495,0.9961973097192705,0.5669365335710882,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,QQQ,269.9365539550781
2023-01-20,0.6185857332938495,1.019085618851049,0.40199335107499096,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,QQQ,277.3238525390625
2023-01-23,0.6185857332938495,1.0204065095861738,0.41481417221209643,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,QQQ,283.48486328125
2023-01-24,0.6185857332938495,1.0128797324583085,0.5153324254463628,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,QQQ,282.9060363769531
2023-01-25,0.6185857332938495,0.9997300091971286,0.525967341248981,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,QQQ,282.2782897949219
