date,target_beta,raw_target_beta,entropy,predicted_regime,actual_regime,raw_regime,stable_regime,deployment_state,lock_active,target_bucket,close,actual_regime_probability,brier,prob_MID_CYCLE,prob_LATE_CYCLE,prob_BUST,prob_RECOVERY
2018-12-28,0.3144133759444759,0.5839053972683573,0.4275477234816249,BUST,LATE_CYCLE,BUST,BUST,DEPLOY_PAUSE,False,CASH,146.21517944335938,0.27967529107242245,1.0377286257137686,6.865551087034859e-32,0.27967529107242245,0.7203200256831934,4.6832443842175905e-06
2018-12-31,0.3144133759444759,0.6040713223425037,0.466176113589295,BUST,LATE_CYCLE,BUST,BUST,DEPLOY_PAUSE,False,CASH,147.44822692871094,0.3467317535139156,0.8534060290705892,2.0544043246221124e-28,0.3467317535139156,0.6531819193388694,8.632714721499268e-05
2019-01-01,0.3144133759444759,0.5469102172365327,0.31277870598746504,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,147.44822692871094,0.8436331626977994,0.04890100252261225,8.767489944640658e-28,0.156366283815959,0.8436331626977994,5.534862415779218e-07
2019-01-02,0.3144133759444759,0.5007308943810539,0.012330213432329682,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,148.04087829589844,0.9975636854920593,1.1871256297516171e-05,1.2892316297507043e-30,0.0024363144123683836,0.9975636854920593,9.55723110694067e-11
2019-01-03,0.3144133759444759,0.5375450827358068,0.27199531138696825,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,143.20425415039062,0.874849977833578,0.03132499261564328,1.1151961234014995e-26,0.1251497685468217,0.874849977833578,2.536196003970432e-07
2019-01-04,0.3144133759444759,0.5038470945156008,0.0494893978515664,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,149.3312530517578,0.9871763545754425,0.00032889168801361737,5.141264819511683e-29,0.012823642463778933,0.9871763545754425,2.9607786037832236e-09
2019-01-07,0.3144133759444759,0.5592025392669608,0.3583005882900721,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,151.1090850830078,0.8026594912782383,0.07788604408982942,7.353740812353765e-19,0.19733921988698708,0.8026594912782383,1.2888347745509485e-06
2019-01-08,0.3144133759444759,0.516979718140178,0.15689786566332192,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,152.47596740722656,0.9434010561412108,0.00640686769205538,6.422390795383786e-16,0.05659882725031867,0.9434010561412108,1.1660846994549256e-07
2019-01-09,0.3144133759444759,0.566753508637944,0.38239111493682243,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,153.71856689453125,0.7774918266938099,0.09901820698419415,5.3555221367497724e-12,0.22250465115078175,0.7774918266938099,3.522150052916163e-06
2019-01-10,0.3144133759444759,0.6415321253744718,0.4990623444844448,BUST,BUST,BUST,BUST,DEPLOY_PAUSE,False,CASH,154.15826416015625,0.5282539454998422,0.44506254946306456,8.928864503941081e-10,0.4717183574544474,0.5282539454998422,2.7696152823954633e-05
